Inside Mgt No.,Co. code,Business pattern code,Line No.,Ref. origin type,Sales actual Mgt No.,Order Mgt No.,Sales slip No.,Ord No.,Accpt count,Receiving check No.,Chargeable supply No.,Temp. order No.,Bad disposal history slip No.,Bad disposal history correction count,Bad disposal history correction type,Exception cost history slip No.,Exception cost history correction count,Exception cost history correction type,Generation Proc type,Cust code,Cust item No.,Cust item name,Last delivery place code,Cust order No.,Plant code,Item No.,Item name,UC,UC type,Qt.,Measure unit,Amt,Sales date,Consumption tax code,Accnt interface flag,Accnt IF EXEC date,AiIF record type column value(debtor),AiIF record type column value(creditor),Ai slip type(debtor),Ai slip type(creditor),Ai issue section(debtor),Ai issue section(creditor),Ai calculation item(debtor),Ai calculation item(creditor),Ai auxiliary item(debtor),Ai auxiliary item(creditor),Ai charge division code(debtor),Ai charge division code(creditor),Ai detail summary(debtor),Ai detail summary(creditor),Ai detail outline name type,Ai consumption tax judgment type(debtor),Ai consumption tax judgment type(creditor),Accnt IF EXEC date,Including tax or Excluding tax type,Tax rates 1,Tax rates 2,Tax rates 3,Currency code,Create slip type,Slip Mgt company code,Ship returned goods flag,Gr company type,Dealings Div.,Dealings Gr type,Bad disposal type,Cost processing type,Partner code,UC Mgt company code,UC acquisition destination type,UC acquisition destination traders code,UC basic date,UC basic Qt.,Journalizing judgment type,Invoice No.,BOItype,ASIA IF EXEC date
"101529","50","A012","1","1","500000102340","50OCN0000140284","50SLD0000228428","","0","0","","","","0","0","","0","0","1","T00100","L105-17511-P10","CASE","ZZ","1101742607","51","L105-17511-EP","CASE","1336","2","918","pcs","1226448","2019/12/05","010","0","","","","","","","","12031101","71010000","","2","","","","","0","0","0","010","0","0","0","0","JPY","1","50","1","3","0","0","0","0","*","*","*","*","2020/01/02","918","1","E11911014","","2019/12/10"
"101530","50","A012","1","1","500000102341","50OCN0000140279","50SLD0000228429","","0","0","","","","0","0","","0","0","1","T00100","J107-10911-P10","COVER WATER PUMP","ZZ","1101742604","51","J107-10911-EP","COVER WATER PUMP","956","2","918","pcs","877608","2019/12/05","010","0","","","","","","","","12031101","71010000","","2","","","","","0","0","0","010","0","0","0","0","JPY","1","50","1","3","0","0","0","0","*","*","*","*","2020/01/02","918","1","E11911014","","2019/12/10"
"101531","50","A012","1","1","500000102342","50OCN0000141093","50SLD0000228430","","0","0","","","","0","0","","0","0","1","T00100","MD328078V-P10","WATER PUMP ASSY","ZZ","1101747505","51","MD328078-EP","WATER PUMP ASSY","2027","2","624","pcs","1264848","2019/12/05","010","0","","","","","","","","12031101","71010000","","2","","","","","0","0","0","010","0","0","0","0","JPY","1","50","1","3","0","0","0","0","*","*","*","*","2020/01/02","624","1","E11911014","","2019/12/10"
"101532","50","A012","1","1","500000102343","50OCN0000141094","50SLD0000228431","","0","0","","","","0","0","","0","0","1","T00100","L120-01700-P10","GEAR","ZZ","1101747546","51","L120-01700-EP","GEAR","97","2","5760","pcs","558720","2019/12/05","010","0","","","","","","","","12031101","71010000","","2","","","","","0","0","0","010","0","0","0","0","JPY","1","50","1","3","0","0","0","0","*","*","*","*","2020/01/02","5760","1","E11911014","","2019/12/10"
"101533","50","A012","1","1","500000102344","50OCN0000141095","50SLD0000228432","","0","0","","","","0","0","","0","0","1","T00100","J105-19200-P10","BODY","ZZ","1101747547","51","J105-19200-EP","BODY","262","2","2520","pcs","660240","2019/12/05","010","0","","","","","","","","12031101","71010000","","2","","","","","0","0","0","010","0","0","0","0","JPY","1","50","1","3","0","0","0","0","*","*","*","*","2020/01/02","2520","1","E11911014","","2019/12/10"
"101534","50","A012","1","1","500000102345","50OCN0000141096","50SLD0000228433","","0","0","","","","0","0","","0","0","1","T00100","898145-1531-P10","OIL PUMP ASSY","ZZ","1101747548","51","898145-1531-EP","OIL PUMP ASSY","1619","2","400","pcs","647600","2019/12/05","010","0","","","","","","","","12031101","71010000","","2","","","","","0","0","0","010","0","0","0","0","JPY","1","50","1","3","0","0","0","0","*","*","*","*","2020/01/02","400","1","E11911014","","2019/12/10"
"101535","50","A012","1","1","500000102346","50OCN0000141097","50SLD0000228434","","0","0","","","","0","0","","0","0","1","T00100","898232-6241-P10","OIL PUMP ASSY","ZZ","1101747550","51","898232-6241-EP","OIL PUMP ASSY","1605","2","400","pcs","642000","2019/12/05","010","0","","","","","","","","12031101","71010000","","2","","","","","0","0","0","010","0","0","0","0","JPY","1","50","1","3","0","0","0","0","*","*","*","*","2020/01/02","400","1","E11911014","","2019/12/10"
"101536","50","A012","1","1","500000102347","50OCN0000141098","50SLD0000228435","","0","0","","","","0","0","","0","0","1","T00100","J123-12100-P10","FLANGE","ZZ","1101747569","51","J123-12100-EP","FLANGE","265","2","360","pcs","95400","2019/12/05","010","0","","","","","","","","12031101","71010000","","2","","","","","0","0","0","010","0","0","0","0","JPY","1","50","1","3","0","0","0","0","*","*","*","*","2020/01/02","360","1","E11911014","","2019/12/10"
"101537","50","A012","1","1","500000102348","50OCN0000141101","50SLD0000228436","","0","0","","","","0","0","","0","0","1","T00100","J105-25100-P10","BODY","ZZ","1101747810","51","J105-25100-EP","BODY","325","2","2550","pcs","828750","2019/12/05","010","0","","","","","","","","12031101","71010000","","2","","","","","0","0","0","010","0","0","0","0","JPY","1","50","1","3","0","0","0","0","*","*","*","*","2020/01/02","2550","1","E11911014","","2019/12/10"
"101538","50","A012","1","1","500000102349","50OCN0000141102","50SLD0000228437","","0","0","","","","0","0","","0","0","1","T00100","L120-12720-G10","GEAR","ZZ","1101747891","51","L120-12720-EP","GEAR","296","2","2400","pcs","710400","2019/12/05","010","0","","","","","","","","12031101","71010000","","2","","","","","0","0","0","010","0","0","0","0","JPY","1","50","1","3","0","0","0","0","*","*","*","*","2020/01/02","2400","1","E11911014","","2019/12/10"
"101539","50","A012","1","1","500000102350","50OCN0000141099","50SLD0000228438","","0","0","","","","0","0","","0","0","1","T00100","J107-10911-P10","COVER WATER PUMP","ZZ","1101747772","51","J107-10911-EP","COVER WATER PUMP","956","2","162","pcs","154872","2019/12/05","010","0","","","","","","","","12031101","71010000","","2","","","","","0","0","0","010","0","0","0","0","JPY","1","50","1","3","0","0","0","0","*","*","*","*","2020/01/02","162","1","E11911014","","2019/12/10"
"101540","50","A012","1","1","500000102351","50OCN0000141100","50SLD0000228439","","0","0","","","","0","0","","0","0","1","T00100","L105-17511-P10","CASE","ZZ","1101747775","51","L105-17511-EP","CASE","1336","2","162","pcs","216432","2019/12/05","010","0","","","","","","","","12031101","71010000","","2","","","","","0","0","0","010","0","0","0","0","JPY","1","50","1","3","0","0","0","0","*","*","*","*","2020/01/02","162","1","E11911014","","2019/12/10"
"101541","50","A012","1","1","500000102352","50OCN0000141101","50SLD0000228436","","0","0","","","","0","0","","0","0","1","T00100","J105-25100-P10","BODY","ZZ","1101747810","51","J105-25100-EP","BODY","325","2","-2550","pcs","-828750","2019/12/05","010","0","","","","","","","","12031101","71010000","","2","","","","","0","0","0","010","0","0","0","0","JPY","1","50","1","3","0","0","0","0","*","*","*","*","2020/01/02","2550","1","E11911014","","2019/12/10"
"101542","50","A012","1","1","500000102353","50OCN0000141101","50SLD0000228436","","0","0","","","","0","0","","0","0","1","T00100","J105-25100-P10","BODY","ZZ","1101747810","51","J105-25100-EP","BODY","325","2","2550","pcs","828750","2019/12/05","010","0","","","","","","","","12031101","71010000","","2","","","","","0","0","0","010","0","0","0","0","JPY","1","50","1","3","0","0","0","0","*","*","*","*","2020/01/02","2550","1","E11911015","","2019/12/10"
"101371","50","A022","1","1","500000101389","50OCN0000136840","50SLD0000226570","","0","0","","","","0","0","","0","0","1","F30411","1610061J00000","PUMP ASSY OIL","ZZ","4500351623","51","16100-61J00-ESP","PUMP ASSY  OIL","595.8","2","80","pcs","47664","2019/12/02","010","0","","","","","","","","12031202","71020000","","2","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","2","0","0","0","0","*","*","*","*","2019/12/02","80","1","5019120004","","2019/12/03"
"101495","50","A012","1","1","500000101700","50OCN0000142456","50SLD0000227237","","0","0","","","","0","0","","0","0","1","T00100","MF472403","PIN  DOWEL","ZZ","1101755234","51","MF472403-EP","PIN  DOWEL","12","2","40","pcs","480","2019/12/04","010","0","","","","","","","","12031101","71010000","","2","","","","","0","0","0","010","0","0","0","0","JPY","1","50","1","3","0","0","0","0","*","*","*","*","2020/01/06","40","1","E21912001","","2019/12/10"
"101496","50","A012","1","1","500000101701","50OCN0000142399","50SLD0000227238","","0","0","","","","0","0","","0","0","1","T00100","J100-21802","WATER PUMP","ZZ","1101755233","51","J100-21802-EP","WATER PUMP","1700","2","4","pcs","6800","2019/12/04","010","0","","","","","","","","12031101","71010000","","2","","","","","0","0","0","010","0","0","0","0","JPY","1","50","1","3","0","0","0","0","*","*","*","*","2020/01/06","4","1","E21912002","","2019/12/10"
"101497","50","A012","1","1","500000101702","50OCN0000142398","50SLD0000227239","","0","0","","","","0","0","","0","0","1","T00100","J109-09810","GASKET; WATER PUMP","ZZ","1101755232","51","J109-09810-EP","GASKET; WATER PUMP","1350","2","4","pcs","5400","2019/12/04","010","0","","","","","","","","12031101","71010000","","2","","","","","0","0","0","010","0","0","0","0","JPY","1","50","1","3","0","0","0","0","*","*","*","*","2020/01/06","4","1","E21912002","","2019/12/10"
"101506","50","A012","1","1","500000101711","50OCN0000138560","50SLD0000227254","","0","0","","","","0","0","","0","0","1","T10200","J123-12600","FLANGE","ZZ","TBKK2001","51","J123-12600-EP","FLANGE","3.803","2","864","pcs","3285.79","2019/12/03","010","0","","","","","","","","12031101","71010000","","2","","","","","0","0","0","010","0","0","0","0","USD","1","50","1","3","0","0","0","0","*","*","*","*","2020/01/14","864","1","E11911013","","2019/12/10"
"102753","50","A012","1","1","500000102918","50OCN0000142229","50SLD0000229663","","0","0","","","","0","0","","0","0","1","T00100","J123-12100-P10","FLANGE","ZZ","1101751577","51","J123-12100-EP","FLANGE","265","2","360","pcs","95400","2019/12/09","010","0","","","","","","","","12031101","71010000","","2","","","","","0","0","0","010","0","0","0","0","JPY","1","50","1","3","0","0","0","0","*","*","*","*","2020/01/08","360","1","E11912002","","2019/12/16"
"102754","50","A012","1","1","500000102919","50OCN0000142230","50SLD0000229664","","0","0","","","","0","0","","0","0","1","T00100","J199-20000-P10","CAP","ZZ","1101751581","51","J199-20030-EP","PLUG","8","2","2000","pcs","16000","2019/12/09","010","0","","","","","","","","12031101","71010000","","2","","","","","0","0","0","010","0","0","0","0","JPY","1","50","1","3","0","0","0","0","*","*","*","*","2020/01/08","2000","1","E11912002","","2019/12/16"
"102755","50","A012","1","1","500000102920","50OCN0000142231","50SLD0000229665","","0","0","","","","0","0","","0","0","1","T00100","J107-10911-P10","COVER WATER PUMP","ZZ","1101751782","51","J107-10911-EP","COVER WATER PUMP","956","2","648","pcs","619488","2019/12/09","010","0","","","","","","","","12031101","71010000","","2","","","","","0","0","0","010","0","0","0","0","JPY","1","50","1","3","0","0","0","0","*","*","*","*","2020/01/08","648","1","E11912002","","2019/12/16"
"102756","50","A012","1","1","500000102921","50OCN0000141825","50SLD0000229666","","0","0","","","","0","0","","0","0","1","T00100","J107-10911-P10","COVER WATER PUMP","ZZ","1101747772","51","J107-10911-EP","COVER WATER PUMP","956","2","702","pcs","671112","2019/12/09","010","0","","","","","","","","12031101","71010000","","2","","","","","0","0","0","010","0","0","0","0","JPY","1","50","1","3","0","0","0","0","*","*","*","*","2020/01/08","702","1","E11912002","","2019/12/16"
"102757","50","A012","1","1","500000102922","50OCN0000142233","50SLD0000229667","","0","0","","","","0","0","","0","0","1","T00100","J105-25100-P10","BODY","ZZ","1101751811","51","J105-25100-EP","BODY","325","2","3600","pcs","1170000","2019/12/09","010","0","","","","","","","","12031101","71010000","","2","","","","","0","0","0","010","0","0","0","0","JPY","1","50","1","3","0","0","0","0","*","*","*","*","2020/01/08","3600","1","E11912002","","2019/12/16"
"102758","50","A012","1","1","500000102923","50OCN0000142234","50SLD0000229668","","0","0","","","","0","0","","0","0","1","T00100","G167-16100-P10","SPRING: anchor","ZZ","1101751836","51","G167-16100-EP","SPRING: anchor","35","2","600","pcs","21000","2019/12/09","010","0","","","","","","","","12031101","71010000","","2","","","","","0","0","0","010","0","0","0","0","JPY","1","50","1","3","0","0","0","0","*","*","*","*","2020/01/08","600","1","E11912002","","2019/12/16"
"102759","50","A012","1","1","500000102924","50OCN0000142235","50SLD0000229669","","0","0","","","","0","0","","0","0","1","T00100","L120-12720-G10","GEAR","ZZ","1101751881","51","L120-12720-EP","GEAR","296","2","2400","pcs","710400","2019/12/09","010","0","","","","","","","","12031101","71010000","","2","","","","","0","0","0","010","0","0","0","0","JPY","1","50","1","3","0","0","0","0","*","*","*","*","2020/01/08","2400","1","E11912002","","2019/12/16"
"102760","50","A012","1","1","500000102925","50OCN0000142224","50SLD0000229670","","0","0","","","","0","0","","0","0","1","T00100","MD328078V-P10","WATER PUMP ASSY","ZZ","1101751478","51","MD328078-EP","WATER PUMP ASSY","2027","2","576","pcs","1167552","2019/12/09","010","0","","","","","","","","12031101","71010000","","2","","","","","0","0","0","010","0","0","0","0","JPY","1","50","1","3","0","0","0","0","*","*","*","*","2020/01/08","576","1","E11912002","","2019/12/16"
"102761","50","A012","1","1","500000102926","50OCN0000141823","50SLD0000229671","","0","0","","","","0","0","","0","0","1","T00100","L105-17511-P10","CASE","ZZ","1101747775","51","L105-17511-EP","CASE","1336","2","702","pcs","937872","2019/12/09","010","0","","","","","","","","12031101","71010000","","2","","","","","0","0","0","010","0","0","0","0","JPY","1","50","1","3","0","0","0","0","*","*","*","*","2020/01/08","702","1","E11912003","","2019/12/16"
